OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-05-27T20:57:20.208384,15.49428223,.0007402,51.6334,40.6657,105.3779,254.8028,0,U,25544,999,56860,.21538E-3,.11618E-3,0
POISK,2009-060A,2026-05-27T20:57:20.208384,15.49428223,.0007402,51.6334,40.6657,105.3779,254.8028,0,U,36086,999,56845,.21538E-3,.11618E-3,0
CSS (TIANHE),2021-035A,2026-05-27T21:06:39.389184,15.59880154,.0010781,41.4683,85.5029,293.4898,66.4807,0,U,48274,999,28999,.19772E-3,.16105E-3,0
ISS (NAUKA),2021-066A,2026-05-27T20:57:20.208384,15.49428223,.0007402,51.6334,40.6657,105.3779,254.8028,0,U,49044,999,56849,.21538E-3,.11618E-3,0
FREGAT DEB,2011-037PF,2026-05-27T02:59:55.195296,12.41746837,.09191578,51.6236,65.1809,236.6584,114.2997,0,U,49271,999,22243,.30662383E-1,.19015E-3,0
CSS (WENTIAN),2022-085A,2026-05-26T20:31:31.598112,15.59843934,.00108591,41.4677,91.7295,287.6757,72.2896,0,U,53239,999,28823,.13679072E-3,.11014E-3,0
CSS (MENGTIAN),2022-143A,2026-05-27T21:06:39.389184,15.59880154,.0010781,41.4683,85.5029,293.4898,66.4807,0,U,54216,999,29004,.19772E-3,.16105E-3,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-05-27T20:45:55.560096,15.70896443,.0003079,51.6271,23.3229,112.8340,247.2983,0,U,66052,999,3480,.55433E-3,.70691E-3,0
SZ-21 MODULE,2025-246C,2026-05-27T19:18:53.251200,15.74513878,.0006081,41.4736,74.0986,232.8590,127.1699,0,U,66515,999,3052,.31855E-3,.47798E-3,0
SHENZHOU-22,2025-272A,2026-05-27T21:06:39.389184,15.59880154,.0010781,41.4683,85.5029,293.4898,66.4807,0,U,66645,999,29006,.19772E-3,.16105E-3,0
SOYUZ-MS 28,2025-275A,2026-05-27T20:57:20.208384,15.49428223,.0007402,51.6334,40.6657,105.3779,254.8028,0,U,66664,999,56857,.21538E-3,.11618E-3,0
DUPLEX,1998-067XS,2026-05-27T01:33:02.273760,15.60827159,.0005256,51.6289,36.0090,112.5659,247.5891,0,U,66906,999,2735,.4540783E-3,.38315E-3,0
ISS OBJECT XY,1998-067XY,2026-05-27T16:25:23.494944,15.84153489,.0004715,51.6230,22.0528,177.3310,182.7719,0,U,66912,999,2758,.10831E-2,.256636E-2,0
KNACKSAT-2,1998-067XZ,2026-05-27T03:11:25.032768,15.57877262,.00117668,51.6303,40.2217,124.6474,235.5629,0,U,67683,999,1699,.60031654E-3,.45545E-3,0
CORAL,1998-067YA,2026-05-27T20:48:28.576224,15.69361273,.0012457,51.6262,32.3518,134.9442,225.2567,0,U,67684,999,1716,.12746E-2,.155341E-2,0
GXIBA-1,1998-067YB,2026-05-27T20:37:27.408864,15.59180639,.0013234,51.6297,36.0707,125.5236,234.6992,0,U,67685,999,1711,.72698E-3,.58213E-3,0
UITMSAT-2,1998-067YC,2026-05-26T21:13:31.533600,15.61461386,.0009601,51.6286,40.0615,107.9257,252.2784,0,U,67686,999,1697,.78561E-3,.68693E-3,0
LEOPARD,1998-067YD,2026-05-27T16:27:39.811680,15.58674623,.0009386,51.6307,37.1715,109.5644,250.6363,0,U,67687,999,1700,.73639E-3,.57728E-3,0
HMU-SAT2,1998-067YE,2026-05-27T02:41:10.921344,15.60378250,.00094582,51.6298,39.3363,107.3999,252.8029,0,U,67688,999,1692,.78430707E-3,.65733E-3,0
CREW DRAGON 12,2026-031A,2026-05-27T20:57:20.208384,15.49428223,.0007402,51.6334,40.6657,105.3779,254.8028,0,U,67796,999,56853,.21538E-3,.11618E-3,0
PROGRESS-MS 33,2026-058A,2026-05-27T20:57:20.208384,15.49428223,.0007402,51.6334,40.6657,105.3779,254.8028,0,U,68319,999,56861,.21538E-3,.11618E-3,0
CYGNUS NG-24,2026-079A,2026-05-27T13:12:57.349728,15.49419138,.0007384,51.6335,42.2623,103.8226,256.3584,0,U,68689,999,56860,.21012014E-3,.1132E-3,0
PROGRESS-MS 34,2026-093A,2026-05-27T13:12:57.349728,15.49419138,.0007384,51.6335,42.2623,103.8226,256.3584,0,U,68837,999,56864,.21012014E-3,.1132E-3,0
TIANZHOU-10,2026-102A,2026-05-26T20:31:31.598112,15.59843934,.00108591,41.4677,91.7295,287.6757,72.2896,0,U,69049,999,28989,.13679072E-3,.11014E-3,0
DRAGON CRS-34,2026-107A,2026-05-27T20:57:20.208384,15.49428223,.0007402,51.6334,40.6657,105.3779,254.8028,0,U,69103,999,56873,.21538E-3,.11618E-3,0
SHENZHOU-23,2026-113A,2026-05-26T20:31:31.598112,15.59843934,.00108591,41.4677,91.7295,287.6757,72.2896,0,U,69180,999,28988,.13679072E-3,.11014E-3,0
